amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,173.98,2026-02-06,PRINTING,ADVERTISING,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757135,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757135,AUSTIN,,AMERICAN PRINTING AND MAILING,TX,78754,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377744,SB17.4200,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,44.0,2026-02-05,FACEBOOK ADVERTISING,OTHER,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757136,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757136,MENLO PARK,,META PLATFORMS,CA,94025,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377747,SB17.4201,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,408.49,2026-02-05,PRINTING,ADVERTISING,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757135,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757135,AUSTIN,,AMERICAN PRINTING AND MAILING,TX,78754,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377743,SB17.4198,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,40.0,2026-02-04,FACEBOOK ADVERTISING,OTHER,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757136,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757136,MENLO PARK,,META PLATFORMS,CA,94025,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377746,SB17.4196,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,37.0,2026-02-02,FACEBOOK ADVERTSING,OTHER,,,P2026,,ORG,ORGANIZATION,PRIMARY,2026,1947627,F3,202602189834757135,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757135,MENLO PARK,,META PLATFORMS,CA,94025,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377745,SB17.4195,2026,C00934547
A,ADD,,,,,H6TX17168,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,19.0,2026-01-26,IN-KIND - FACEBOOK ADVERTISING,OTHER,,,P2026,,CAN,CANDIDATE,PRIMARY,2026,1947627,F3,202602189834757140,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757140,WACO,,"SHEPARD, CASEY MR.",TX,76712,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377758,SB17.4138,2026,
A,ADD,,,,,H6TX17168,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,25.46,2026-01-24,IN-KIND - WEBSITE SERVICES,OTHER,,,P2026,,CAN,CANDIDATE,PRIMARY,2026,1947627,F3,202602189834757139,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757139,WACO,,"SHEPARD, CASEY MR.",TX,76712,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377757,SB17.4140,2026,
A,ADD,,,,,H6TX17168,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,17.0,2026-01-24,IN-KIND - FACEBOOK ADVERTISING,OTHER,,,P2026,,CAN,CANDIDATE,PRIMARY,2026,1947627,F3,202602189834757139,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757139,WACO,,"SHEPARD, CASEY MR.",TX,76712,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377756,SB17.4139,2026,
A,ADD,,,,,H6TX17168,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,13.0,2026-01-22,IN-KIND - FACEBOOK ADVERTISING,OTHER,,,P2026,,CAN,CANDIDATE,PRIMARY,2026,1947627,F3,202602189834757139,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757139,WACO,,"SHEPARD, CASEY MR.",TX,76712,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377755,SB17.4142,2026,
A,ADD,,,,,H6TX17168,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,15.0,2026-01-22,IN-KIND - FACEBOOK ADVERTISING,OTHER,,,P2026,,CAN,CANDIDATE,PRIMARY,2026,1947627,F3,202602189834757138,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757138,WACO,,"SHEPARD, CASEY MR.",TX,76712,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377754,SB17.4141,2026,
A,ADD,,,,,H6TX17168,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,10.0,2026-01-21,IN-KIND - FACEBOOK ADVERTISING,OTHER,,,P2026,,CAN,CANDIDATE,PRIMARY,2026,1947627,F3,202602189834757138,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757138,WACO,,"SHEPARD, CASEY MR.",TX,76712,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377753,SB17.4144,2026,
A,ADD,,,,,H6TX17168,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,9.0,2026-01-21,IN-KIND - FACEBOOK ADVERTISING,OTHER,,,P2026,,CAN,CANDIDATE,PRIMARY,2026,1947627,F3,202602189834757138,17,Operating Expenditures,4021920261309029001,2026-03-14T02:52:00,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202602189834757138,WACO,,"SHEPARD, CASEY MR.",TX,76712,,12P,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4031320261423377752,SB17.4143,2026,
