amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,54.75,2026-05-17,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852653,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852653,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740231,SB17.6014,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,188.63,2026-05-11,WEB SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852664,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852664,SAN JOSE,,"ZOOM COMMUNICATIONS, INC.",CA,95113,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740264,SB17.5974,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,35.16,2026-05-10,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852652,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852652,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740230,SB17.6013,2026,C00929711
N,NO CHANGE,,,,,H6TX11112,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,515.0,2026-05-06,IN-KIND - BOOTH AT BASIN PRIDE,OTHER,,,G2026,,CAN,CANDIDATE,GENERAL,2026,1998635,F3,202607169890852662,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,X,,,true,,,,CLAIRE,REYNOLDS,ANNE,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852662,AUSTIN,,"REYNOLDS, CLAIRE ANNE",TX,78720,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740258,SB17.6052,2026,
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,370.27,2026-05-05,VIDEO EDITING SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852660,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852660,PALO ALTO,,OPUSCLIP,CA,94301,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740254,SB17.6005,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,283.33,2026-05-05,FUNDRAISING SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852659,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852659,WASHINGTON,,"GRASSROOTS ANALYTICS, INC.",DC,20001,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740249,SB17.5988,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,283.33,2026-05-04,FUNDRAISING SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852658,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852658,WASHINGTON,,"GRASSROOTS ANALYTICS, INC.",DC,20001,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740248,SB17.5987,2026,C00929711
N,NO CHANGE,,,,,H6TX11112,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,482.4,2026-05-03,IN-KIND - TRAVEL EXPENSES,MATERIALS,,,G2026,,CAN,CANDIDATE,GENERAL,2026,1998635,F3,202607169890852661,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,X,,,true,,,,CLAIRE,REYNOLDS,ANNE,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852661,AUSTIN,,"REYNOLDS, CLAIRE ANNE",TX,78720,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740257,SB17.6054,2026,
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,10.4,2026-05-03,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852652,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852652,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740229,SB17.6012,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,144.86,2026-05-02,TRAVEL EXPENSES,MATERIALS,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852655,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852655,SAN ANGELO,,ANGORIA HOTEL,TX,76903,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740239,SB17.5984,2026,C00929711
